team,init_off,init_def
Fiji,4701.6304011805905,4138.839279045783
Sri Lanka,4666.071013785811,4048.199123651173
Tahiti,4836.869405517148,4463.229195417461
Gambia,4970.818442424371,4666.087456606086
Guinea-Bissau,4884.191485245492,4667.893175651047
Jordan,4791.781071857929,4471.442582063267
Libya,5121.021711359986,4464.0890186261495
Burundi,4916.823572679392,4596.012179335131
Cameroon,5109.639386504499,4628.333690589772
Taiwan,5002.916053965418,4672.508163118948
Tunisia,5045.662511015993,4623.126933938991
Ivory Coast,5143.355990306076,4838.479013075257
Liberia,4910.3581798213345,4677.341897030334
Mali,5036.416900176505,4758.275877089077
Congo,5301.998878553144,4711.104893675665
Togo,5005.153185873008,4835.819097813379
Benin,4992.976083128653,4637.408912690168
Cambodia,4692.777258135426,4328.709721995201
Sudan,5039.168975607747,4925.882636038716
North Vietnam,4988.708633661708,4542.370110019691
North Korea,5200.941998802623,5065.5465509318165
Central African Republic,4974.52534292314,4550.777048406689
Malta,4848.019628600603,4672.40409479839
Saudi Arabia,4866.193345921131,4636.467314578282
Morocco,5112.831289914397,4874.320974533702
Malawi,4767.785800740472,4334.344266362499
Algeria,5234.275451653045,5070.084923493209
Guinea,5134.776828406461,4766.967100126688
Cape Verde,4823.921679936686,4738.286401757041
Senegal,5019.135231994343,4772.724576567888
Burkina Faso,5005.4583020550535,4529.434250487333
Gabon,4944.547249564409,4601.631652646658
Mongolia,4313.037703404345,3899.822911634872
Kuwait,4903.432927306036,4545.034863527089
Laos,4594.277755293424,3967.0796291623765
Mauritania,4740.329978946356,4207.799833438017
Chad,4864.7136151012355,4527.175837976162
Niger,4818.0888156002,4465.115711371089
Papua New Guinea,4638.482804205907,4083.7259756308185
Solomon Islands,4555.74047459664,4046.3300369903995
Somalia,4869.054192323402,4373.1889738226555
Bermuda,4821.922478545316,4481.183660783961
Bahamas,4422.467157248417,3950.1653480604505
Yemen,4834.544383948354,4353.325254377976
Oman,4658.314371232582,4077.1681101817085
Bahrain,4852.19703767271,4431.023443215723
North Yemen,4695.624711812089,3860.3932372511345
Botswana,4683.840259690498,4405.107065791777
Eswatini,4755.310530931289,4443.6191549745945
Sint Maarten,4514.939951704862,4132.928294528968
Qatar,4781.517789975568,4496.436427214578
Lesotho,4870.028760506177,4525.110974746882
Brunei,4442.503893244723,3867.903655024448
Cook Islands,3528.784081881111,3036.4392826806297
United Arab Emirates,4751.0709518807125,4524.571530377405
Nepal,4467.532316987828,4176.135732720968
Bangladesh,4618.187162822995,4287.349395015918
Seychelles,4704.391934138154,4531.381771226168
Equatorial Guinea,4786.926097935838,4523.629906148349
Mozambique,4933.518002600707,4631.588244013664
Guam,4160.069937419292,3003.8553101347334
Angola,4931.943811909149,4861.511402279726
São Tomé and Príncipe,4737.828577726647,4358.170162234268
Rwanda,4784.485102934321,4574.85668742707
Comoros,4643.483703707514,4333.162689836477
Maldives,4348.389884904558,3955.343269400644
Tonga,3589.579838390744,3307.2001049256733
Kiribati,3065.62084807847,2321.872366453578
Tuvalu,3856.395427173922,3069.273399918774
Samoa,3689.6674757271785,3250.634199883736
Liechtenstein,4660.571859815858,4243.334513513643
Bhutan,4270.351367747542,3867.098308683944
Niue,1319.0,1671.7225441345945
Eastern Samoa,3497.2756309023807,2775.1423337852952
Cayman Islands,4639.5973162237715,4192.366058974939
Anguilla,4073.91690147274,3772.7715021277268
British Virgin Islands,4388.579521364375,4119.086360088731
San Marino,4677.314227301869,4256.851527936513
Saint Martin,4546.875359205995,4280.747994059324
Namibia,4756.417299317339,4577.268314343633
Slovenia,4922.331563301983,4904.932305178947
Bosnia and Herzegovina,4973.651935969502,4813.646084020553
Moldova,4957.009816700551,4703.928140899831
Ukraine,4983.3634212180705,4902.122518149403
Kazakhstan,4842.288529876704,4878.908889771601
Turkmenistan,4991.232151994055,4720.916457223543
Tajikistan,4874.419827123618,4646.045262868559
Uzbekistan,5044.282310207883,4773.21891304258
Eritrea,4779.844834917714,4759.350903102943
Kyrgyzstan,4760.686392366868,4520.264464718201
Belarus,4959.86717575061,4812.36066514736
Kosovo,4897.4995580594805,4705.829571339705
North Macedonia,4980.833256273255,4834.219199788488
Andorra,4725.682598223552,4458.8093889837355
US Virgin Islands,4195.414427147739,3642.2940587330086
Northern Mariana Islands,3979.0517637245252,3423.276636237388
Palau,991.2014652014645,1246.3532898223964
Turks and Caicos Islands,4278.913659912335,3804.6864899585603
East Timor,4453.221220487525,3898.2192533557536
Montenegro,4978.180539108118,4805.881873940985
Gibraltar,4684.465170163982,4261.7691322258315
